variant,kind,aibl_n,aibl_acc,aibl_bacc,aibl_auc,aibl_ad_vs_cn_auc,aibl_recall_CN,aibl_recall_MCI,aibl_recall_AD,aibl_ad_to_cn_errors,ixi_cn_retention,ixi_false_impairment,oasis_bacc_stress,aibl_ece,aibl_brier,aibl_nll,notes,source,temperature
random_0461,risk_candidate,216,0.9027777777777778,0.8159371492704826,0.9536806275529375,0.9990379990379991,0.961038961038961,0.8571428571428571,0.6296296296296297,0,0.7693631669535284,0.23063683304647165,0.3444379505162673,0.11701255293207348,0.18836832485203434,0.3789673090642489,Random candidate from RC-SPE pooling family.,random_pool,0.6902141864733147
random_0462,risk_candidate,216,0.8518518518518519,0.7644059644059644,0.9357802229786493,0.9980759980759981,0.9090909090909091,0.8285714285714286,0.5555555555555556,0,0.0,1.0,0.3333333333333333,0.2682225596930155,0.39050226925957354,0.646814707219531,Random candidate from RC-SPE pooling family.,random_pool,0.9392978426663038
random_0463,risk_candidate,216,0.8194444444444444,0.6246432579765914,0.9519930687696386,0.9980759980759981,0.9935064935064936,0.02857142857142857,0.8518518518518519,3,1.0,0.0,0.3333333333333333,0.08443922100196913,0.23041849929875277,0.39887078330443054,Random candidate from RC-SPE pooling family.,random_pool,0.7596080183283764
random_0464,risk_candidate,216,0.7083333333333334,0.574025974025974,0.9371970059896774,0.9872534872534873,0.7792207792207793,0.9428571428571428,0.0,0,0.0981067125645439,0.9018932874354562,0.3446327683615819,0.1723187786258273,0.5165887414571381,0.8202013187742112,Random candidate from RC-SPE pooling family.,random_pool,2.1113901612272437
random_0465,risk_candidate,216,0.8564814814814815,0.7008337341670675,0.9557180965094432,0.9990379990379991,0.9935064935064936,0.2571428571428571,0.8518518518518519,1,1.0,0.0,0.3333333333333333,0.09496051396636998,0.18174130820254142,0.35329382714696284,Random candidate from RC-SPE pooling family.,random_pool,0.8687653390182846
random_0466,risk_candidate,216,0.7268518518518519,0.3703703703703704,0.9095273288343119,0.9721019721019721,1.0,0.0,0.1111111111111111,21,1.0,0.0,0.3333333333333333,0.19979097392690162,0.45066867659737336,0.8231269704545786,Random candidate from RC-SPE pooling family.,random_pool,1.0224732322920305
random_0467,risk_candidate,216,0.9120370370370371,0.8332691999358666,0.9531459485248449,0.9990379990379991,0.9675324675324676,0.8285714285714286,0.7037037037037037,0,0.9965576592082617,0.0034423407917383297,0.34385349698032336,0.14633954741721722,0.18393235873106184,0.3749412648727507,Random candidate from RC-SPE pooling family.,random_pool,0.74798671067977
random_0468,risk_candidate,216,0.7453703703703703,0.46047779381112713,0.9262078057268721,0.9773929773929774,0.974025974025974,0.0,0.4074074074074074,14,1.0,0.0,0.3050847457627119,0.14441277012603157,0.3561329904194848,0.6266099726957592,Random candidate from RC-SPE pooling family.,random_pool,0.8071803476121547
random_0469,risk_candidate,216,0.6666666666666666,0.682363315696649,0.9327339344883147,0.9966329966329966,0.6428571428571429,0.8857142857142857,0.5185185185185185,0,0.20481927710843373,0.7951807228915663,0.3389830508474576,0.20474094780867713,0.5157911391531405,0.8503934395802345,Random candidate from RC-SPE pooling family.,random_pool,2.2477499899839573
random_0470,risk_candidate,216,0.8842592592592593,0.8168510501843835,0.9226733782813001,0.9980759980759981,0.9415584415584416,0.6571428571428571,0.8518518518518519,0,0.26161790017211706,0.7383820998278829,0.30430547438145333,0.24603827128130673,0.3092148765812884,0.5751985834759381,Random candidate from RC-SPE pooling family.,random_pool,0.9496098829590549
